QuoteID|Quote|QuoteAuthor|Keyword
1|Without music, life would be a mistake.|Friedrich Nietzsche|music mistake life viata greseala greseli muzica song songs
2|It is not a lack of love, but a lack of friendship that makes unhappy marriages.|Friedrich Nietzsche|love friendship marriages iubire casatorie sot sotie
3|That which does not kill us makes us stronger.|Friedrich Nietzsche|motivation kill motivare motivez motivat omor moarte putere curaj curajos puternic
4|I'm not upset that you lied to me, I'm upset that from now on I can't believe you.|Friedrich Nietzsche|lie trust friendship minciuna prietenie incredere prieten 
5|There is always some madness in love. But there is also always some reason in madness.|Friedrich Nietzsche|love madness iubire dragoste nebun nebunie nebuni 
6|And those who were seen dancing were thought to be insane by those who could not hear the music.|Friedrich Nietzsche|dance music insane dancing dans dansa muzica nebun nebunieoriginal
7|It is hard enough to remember my opinions, without also remembering my reasons for them!|Friedrich Nietzsche|opinion reason reasons opinie inteligent greu amintire
8|Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you.|Friedrich Nietzsche|fight fights monsters monster abyss prapastie gol pustiu monstri monstru lupta bataie
9|You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist.|Friedrich Wilhelm Nietzsche|way drum alegere corecta drept
10|Sometimes people don't want to hear the truth because they don't want their illusions destroyed.|Friedrich Nietzsche|people hear truth true lie illusions destryed destroy oameni adevar adevarat minciuna minciuni distrus iluzii iluzie
11|But man is not made for defeat. A man can be destroyed but not defeated.|Ernest Hemingway|man defeat made destroyed defeated barbat adevarat facut infragere pierdere pirdut lose 
12|When you reach the end of your rope, tie a knot in it and hang on.|Franklin D. Roosevelt|rope end knot hang on true Roosvelt adevarat sfarsit viata nod putere
13|You cannot shake hands with a clenched fist.|Indira Gandhi|shake hands fist bate palma mana incredere intelegere pumn adevar adevarat
14|Let us sacrifice our today so that our children can have a better tomorrow.|A. P. J. Abdul Kalam|sacrifice today children tomorrow better sacrificiu azi copil copii maine bun mai
15|Do not mind anything that anyone tells you about anyone else. Judge everyone and everything for yourself.|Henry James|incredere minciuna minciuni trust judge judeca singur 
16|Learning never exhausts the mind.|Leonardo da Vinci|learn learning exhausts mind invat invatat invata minte inteligent destept  
17|All that we see or seem is but a dream within a dream.|Edgar Allan Poe|see we semm dream within noi vedem tot vis visuri viseaza cosmar
18|If you cannot do great things, do small things in a great way.|Napoleon Hill|great things small way bine bun lucru mic mare normal frumos corect drept lucruri invat lucrez fac 
19|Independence is happiness.|Susan B. Anthony|independence happiness fericire fericit independet independenta liber multumit implinit
20|The supreme art of war is to subdue the enemy without fighting.|Sun Tzu|art war subdue enemy fighting arta razboi inamic dusman lupta lupte razboaie
21|Herb is the healing of a nation, alcohol is the destruction.|Bob Marley|weed smoke joint pipe pipa iarba tigara fum fumat
22|When you smoke the herb, it reveals you to yourself.|Bob Marley|weed smoke joint pipe pipa iarba tigara fum fumat 
23|The illegality of cannabis is outrageous, an impediment to full utilization of a drug which helps produce the serenity and insight, sensitivity and fellowship so desperately needed in this increasingly mad and dangerous world.|Carl Sagan|weed smoke joint pipe pipa iarba tigara fum fumat 
24|To inspire himself, he lit up a marijuana cigarette, excellent Land-O-Smiles brand.|Philip K. Dick|weed smoke joint pipe pipa iarba tigara fum fumat 
